Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
10,State,Jammu & Kashmir,2014,23848,122,195.4754098
11,State,Jharkhand,2014,45335,329.1,137.7544819
12,State,Karnataka,2014,137338,614.1,223.6411008
13,State,Kerala,2014,206789,353.3,585.3071044
34,Union Territory,Lakshadweep,2014,81,0.8,101.25
14,State,Madhya Pradesh,2014,272423,760,358.4513158
15,State,Maharashtra,2014,249834,1176.9,212.2814173
16,State,Manipur,2014,3641,25.4,143.3464567
17,State,Meghalaya,2014,3679,27.2,135.2573529
18,State,Mizoram,2014,2140,10.4,205.7692308
19,State,Nagaland,2014,1157,23.4,49.44444444
20,State,Odisha,2014,74569,419.1,177.9265092
35,Union Territory,Puducherry,2014,3584,15.9,225.408805
21,State,Punjab,2014,37162,286.7,129.6198116
22,State,Rajasthan,2014,210418,713.2,295.0336511
23,State,Sikkim,2014,1065,6.4,166.40625
24,State,Tamil Nadu,2014,193200,687.8,280.8956092
25,State,Tripura,2014,5499,37.6,146.25
26,State,Uttar Pradesh,2014,240475,2123.9,113.2233156
27,State,Uttarakhand,2014,9156,104.1,87.95389049
28,State,West Bengal,2014,193048,921.9,209.4023213
29,Union Territory,A & N Islands,2015,862,5.5,156.7272727
1,State,Andhra Pradesh,2015,216975,879,246.8430034
2,State,Arunachal Pradesh,2015,2968,13,228.3076923
3,State,Assam,2015,103616,322,321.7888199
4,State,Bihar,2015,176973,1031.4,171.585224
30,Union Territory,Chandigarh,2015,3248,17.4,186.6666667
5,State,Chhattisgarh,2015,56692,256.6,220.9353079
31,Union Territory,D & N Haveli,2015,269,4.2,64.04761905
32,Union Territory,Daman & Diu,2015,302,3.2,94.375
33,Union Territory,Delhi,2015,191377,208.8,916.5565134
